的	〔白勹丶&nbsp;·&nbsp;unid〕
定	〔宀疋&nbsp;·&nbsp;wts〕
部	〔立口阝&nbsp;·&nbsp;idte〕
与	〔一ㄅ一&nbsp;·&nbsp;fafi〕
将	〔丬夕寸&nbsp;·&nbsp;alkc〕
日	〔日&nbsp;·&nbsp;or〕
长	〔长&nbsp;·&nbsp;pc〕
理	〔王里&nbsp;·&nbsp;ndl〕
三	〔三&nbsp;·&nbsp;ts〕
些	〔匕二&nbsp;·&nbsp;svme〕
实	〔宀⺀大&nbsp;·&nbsp;wwmd〕
样	〔木羊&nbsp;·&nbsp;egy〕
十	〔十&nbsp;·&nbsp;ns〕
意	〔音心&nbsp;·&nbsp;xhx〕
知	〔矢口&nbsp;·&nbsp;odk〕
此	〔匕&nbsp;·&nbsp;svb〕
第	〔⺮𢎨&nbsp;·&nbsp;rtf〕
力	〔力&nbsp;·&nbsp;sl〕
很	〔彳艮&nbsp;·&nbsp;wig〕
正	〔一止&nbsp;·&nbsp;fsi〕
高	〔高&nbsp;·&nbsp;gg〕
手	〔手&nbsp;·&nbsp;us〕
什	〔亻十&nbsp;·&nbsp;jns〕
身	〔身&nbsp;·&nbsp;zs〕
被	〔衤皮&nbsp;·&nbsp;trp〕
它	〔宀匕&nbsp;·&nbsp;wvb〕
明	〔日月&nbsp;·&nbsp;ovy〕
老	〔老&nbsp;·&nbsp;ql〕
者	〔耂日&nbsp;·&nbsp;qor〕
公	〔八厶&nbsp;·&nbsp;hks〕
见	〔见&nbsp;·&nbsp;ej〕
机	〔木几&nbsp;·&nbsp;eoj〕
向	〔丿冂口&nbsp;·&nbsp;tmdk〕
问	〔门口&nbsp;·&nbsp;adk〕
最	〔曰耳又&nbsp;·&nbsp;oqry〕
使	〔亻一口&nbsp;·&nbsp;jfdb〕
全	〔人王&nbsp;·&nbsp;jnw〕
点	〔⺊口灬&nbsp;·&nbsp;ydch〕
情	〔忄龶⺝&nbsp;·&nbsp;havy〕
外	〔夕卜&nbsp;·&nbsp;lyb〕
民	〔民&nbsp;·&nbsp;dm〕
并	〔䒑廾&nbsp;·&nbsp;hlc〕
战	〔⺊口戈&nbsp;·&nbsp;ydpg〕
关	〔䒑大&nbsp;·&nbsp;hmd〕
工	〔工&nbsp;·&nbsp;ug〕
回	〔囗口&nbsp;·&nbsp;rdk〕
等	〔⺮土寸&nbsp;·&nbsp;rgkc〕
相	〔木目&nbsp;·&nbsp;eqm〕
二	〔二&nbsp;·&nbsp;me〕
重	〔千里&nbsp;·&nbsp;ldl〕
由	〔由&nbsp;·&nbsp;dy〕
头	〔⺀大&nbsp;·&nbsp;wmd〕
声	〔士&nbsp;·&nbsp;gcs〕
性	〔忄生&nbsp;·&nbsp;hls〕
应	〔广⺍一&nbsp;·&nbsp;xkfi〕
间	〔门日&nbsp;·&nbsp;aor〕
话	〔讠舌&nbsp;·&nbsp;sas〕
文	〔文&nbsp;·&nbsp;vw〕
给	〔纟亼口&nbsp;·&nbsp;ijdk〕
美	〔⺷大&nbsp;·&nbsp;gmd〕
业	〔业&nbsp;·&nbsp;cy〕
物	〔牜勹&nbsp;·&nbsp;qnes〕
真	〔十&nbsp;·&nbsp;nqhb〕
体	〔亻木一&nbsp;·&nbsp;jefi〕
或	〔戈口㇀&nbsp;·&nbsp;pdfi〕
政	〔一止攵&nbsp;·&nbsp;fshp〕
几	〔几&nbsp;·&nbsp;oj〕
内	〔冂人&nbsp;·&nbsp;mjr〕
利	〔禾刂&nbsp;·&nbsp;xpd〕
打	〔扌丁&nbsp;·&nbsp;uad〕
走	〔走&nbsp;·&nbsp;pz〕
新	〔立朩斤&nbsp;·&nbsp;ietj〕
位	〔亻立&nbsp;·&nbsp;jil〕
西	〔西&nbsp;·&nbsp;vx〕
再	〔一冂土&nbsp;·&nbsp;fmgt〕
产	〔厂&nbsp;·&nbsp;ixc〕
加	〔力口&nbsp;·&nbsp;sdk〕
月	〔月&nbsp;·&nbsp;vy〕
却	〔土厶卩&nbsp;·&nbsp;gkzj〕
先	〔⺧儿&nbsp;·&nbsp;qpe〕
制	〔牛巾刂&nbsp;·&nbsp;qrpd〕
特	〔牜土寸&nbsp;·&nbsp;qgkc〕
果	〔田木&nbsp;·&nbsp;qem〕
东	〔小&nbsp;·&nbsp;ryx〕
神	〔礻日丨&nbsp;·&nbsp;fogs〕
儿	〔儿&nbsp;·&nbsp;pe〕
才	〔丿&nbsp;·&nbsp;ntp〕
门	〔门&nbsp;·&nbsp;am〕
太	〔大丶&nbsp;·&nbsp;mid〕
合	〔亼口&nbsp;·&nbsp;jdk〕
信	〔亻言&nbsp;·&nbsp;jsy〕
表	〔龶&nbsp;·&nbsp;ati〕
原	〔厂白小&nbsp;·&nbsp;xuyx〕
女	〔女&nbsp;·&nbsp;bn〕
更	〔一日&nbsp;·&nbsp;fobi〕
己	〔己&nbsp;·&nbsp;vj&nbsp;vjj〕
名	〔夕口&nbsp;·&nbsp;ldk〕
立	〔立&nbsp;·&nbsp;il〕
比	〔匕&nbsp;·&nbsp;vvb〕
代	〔亻弋&nbsp;·&nbsp;jpi〕
四	〔四&nbsp;·&nbsp;ys〕
斯	〔斤&nbsp;·&nbsp;zhtj〕
任	〔亻㇒士&nbsp;·&nbsp;jtgs〕
次	〔冫欠&nbsp;·&nbsp;weq〕
世	〔廿㇗&nbsp;·&nbsp;lae〕
便	〔亻一日&nbsp;·&nbsp;jfob〕
听	〔口斤&nbsp;·&nbsp;dtj〕
提	〔扌日&nbsp;·&nbsp;uots〕
做	〔亻古攵&nbsp;·&nbsp;jchp〕
海	〔氵𠂉母&nbsp;·&nbsp;kekm〕
水	〔水&nbsp;·&nbsp;ks〕
教	〔耂子攵&nbsp;·&nbsp;qhhp〕
眼	〔目艮&nbsp;·&nbsp;qig〕
化	〔亻&nbsp;·&nbsp;jvb〕
通	〔龴辶&nbsp;·&nbsp;ktuc〕
感	〔戊一口心&nbsp;·&nbsp;nfdh〕
王	〔王&nbsp;·&nbsp;nw〕
各	〔各&nbsp;·&nbsp;sg〕
口	〔口&nbsp;·&nbsp;dk〕
气	〔气&nbsp;·&nbsp;vq〕
别	〔口力刂&nbsp;·&nbsp;dspd〕
少	〔𡭔丿&nbsp;·&nbsp;ytp〕
处	〔夂卜&nbsp;·&nbsp;hyb〕
平	〔干丷&nbsp;·&nbsp;ehb〕
常	〔巾&nbsp;·&nbsp;srj〕
解	〔⺈用刀牛&nbsp;·&nbsp;xtpq〕
何	〔亻可&nbsp;·&nbsp;jzk〕
接	〔扌立女&nbsp;·&nbsp;uibn〕
目	〔目&nbsp;·&nbsp;qm〕
反	〔⺁又&nbsp;·&nbsp;xry〕
变	〔亠又&nbsp;·&nbsp;zcry〕
笑	〔⺮丿大&nbsp;·&nbsp;rtmd〕
总	〔丷口心&nbsp;·&nbsp;hdhx〕
入	〔入&nbsp;·&nbsp;ju〕
认	〔讠人&nbsp;·&nbsp;sjr〕
条	〔夂木&nbsp;·&nbsp;hem〕
安	〔宀女&nbsp;·&nbsp;wbn〕
金	〔金&nbsp;·&nbsp;zj〕
及	〔及&nbsp;·&nbsp;cj〕
度	〔广廿又&nbsp;·&nbsp;xlry〕
让	〔讠⺊一&nbsp;·&nbsp;syfi〕
山	〔山&nbsp;·&nbsp;vs〕
马	〔马&nbsp;·&nbsp;nm〕
受	〔爫冖又&nbsp;·&nbsp;ywry〕
活	〔氵舌&nbsp;·&nbsp;kas〕
结	〔纟士口&nbsp;·&nbsp;igdk〕
数	〔米女攵&nbsp;·&nbsp;pbhp〕
直	〔十一&nbsp;·&nbsp;nqfi〕
必	〔心丿&nbsp;·&nbsp;htp〕
白	〔白&nbsp;·&nbsp;ub〕
指	〔扌匕日&nbsp;·&nbsp;uvor〕
张	〔弓长&nbsp;·&nbsp;bpc〕
报	〔扌卩又&nbsp;·&nbsp;uzry〕
论	〔讠仑&nbsp;·&nbsp;sjl〕
员	〔口贝&nbsp;·&nbsp;dob〕
义	〔丶乂&nbsp;·&nbsp;ibi〕
放	〔方攵&nbsp;·&nbsp;lhp〕
电	〔日乚&nbsp;·&nbsp;oae〕
至	〔至&nbsp;·&nbsp;yi〕
五	〔五&nbsp;·&nbsp;wu〕
系	〔丿糸&nbsp;·&nbsp;tis〕
难	〔又隹&nbsp;·&nbsp;rui〕
命	〔亼口卩&nbsp;·&nbsp;jdzj〕
建	〔聿廴&nbsp;·&nbsp;buy〕
尔	〔小&nbsp;·&nbsp;xyx〕
件	〔亻牛&nbsp;·&nbsp;jqn〕
死	〔歹匕&nbsp;·&nbsp;gvb〕
保	〔亻口木&nbsp;·&nbsp;jdem〕
完	〔宀二儿&nbsp;·&nbsp;wmpe〕
许	〔讠𠂉十&nbsp;·&nbsp;sens〕
题	〔日页&nbsp;·&nbsp;otwy〕
场	〔土ㄋ&nbsp;·&nbsp;gaes〕
空	〔穴工&nbsp;·&nbsp;eug〕
计	〔讠十&nbsp;·&nbsp;sns〕
怎	〔乍心&nbsp;·&nbsp;whx〕
光	〔光&nbsp;·&nbsp;mg〕
管	〔⺮宀㠯&nbsp;·&nbsp;rwki〕
非	〔非&nbsp;·&nbsp;rf〕
德	〔彳十罒心&nbsp;·&nbsp;wnyh〕
强	〔弓口虫&nbsp;·&nbsp;bdcc〕
量	〔日一里&nbsp;·&nbsp;ofdl〕
决	〔冫人&nbsp;·&nbsp;wnjr〕
形	〔一廾彡&nbsp;·&nbsp;fles〕
像	〔亻象&nbsp;·&nbsp;jwx〕
期	〔月&nbsp;·&nbsp;zhvy〕
资	〔冫欠贝&nbsp;·&nbsp;weob〕
队	〔阝人&nbsp;·&nbsp;tjr〕
清	〔氵龶⺝&nbsp;·&nbsp;kavy〕
务	〔夂力&nbsp;·&nbsp;hsl〕
嗯	〔口囗大心&nbsp;·&nbsp;drmh〕
统	〔纟儿&nbsp;·&nbsp;ibpe〕
书	〔ヿヿ丨丶&nbsp;·&nbsp;aagi〕
市	〔亠巾&nbsp;·&nbsp;zrj〕
司	〔㇆一口&nbsp;·&nbsp;afdk〕
师	〔リ一巾&nbsp;·&nbsp;pfrj〕
住	〔亻丶王&nbsp;·&nbsp;jinw〕
即	〔卩&nbsp;·&nbsp;izj〕
克	〔古儿&nbsp;·&nbsp;cpe〕
带	〔冖巾&nbsp;·&nbsp;lwrj〕
飞	〔飞&nbsp;·&nbsp;cf〕
南	〔十冂&nbsp;·&nbsp;nmgy〕
区	〔匸㐅&nbsp;·&nbsp;nbi〕
李	〔木子&nbsp;·&nbsp;ehi〕
则	〔贝刂&nbsp;·&nbsp;opd〕
觉	〔⺍冖见&nbsp;·&nbsp;kwej〕
交	〔六乂&nbsp;·&nbsp;abi〕
社	〔礻土&nbsp;·&nbsp;fgt〕
今	〔亽&nbsp;·&nbsp;jae〕
基	〔土&nbsp;·&nbsp;zhgt〕
北	〔匕&nbsp;·&nbsp;avb〕
展	〔尸龷&nbsp;·&nbsp;clti〕
传	〔亻二丶&nbsp;·&nbsp;jmai〕
连	〔车辶&nbsp;·&nbsp;yuc〕
叫	〔口丩&nbsp;·&nbsp;dij〕
治	〔氵厶口&nbsp;·&nbsp;kkdk〕
路	〔⻊各&nbsp;·&nbsp;psg〕
万	〔一&nbsp;·&nbsp;fpd〕
告	〔⺧口&nbsp;·&nbsp;qdk〕
科	〔禾斗&nbsp;·&nbsp;xjd〕
呢	〔口尸匕&nbsp;·&nbsp;dcvb〕
思	〔田心&nbsp;·&nbsp;qhx〕
达	〔大辶&nbsp;·&nbsp;muc〕
记	〔讠己&nbsp;·&nbsp;svj〕
转	〔二丶&nbsp;·&nbsp;ymai〕
望	〔月王&nbsp;·&nbsp;fvnw〕
边	〔力辶&nbsp;·&nbsp;suc〕
快	〔忄人&nbsp;·&nbsp;hnjr〕
风	〔⺇乂&nbsp;·&nbsp;obi〕
色	〔⺈巴&nbsp;·&nbsp;xmb〕
该	〔讠亥&nbsp;·&nbsp;skh〕
界	〔田人&nbsp;·&nbsp;qjpd〕
象	〔象&nbsp;·&nbsp;wx〕
权	〔木又&nbsp;·&nbsp;ery〕
拉	〔扌立&nbsp;·&nbsp;uil〕
设	〔讠殳&nbsp;·&nbsp;srs〕
且	〔且&nbsp;·&nbsp;fq〕
取	〔耳又&nbsp;·&nbsp;qry〕
干	〔干&nbsp;·&nbsp;eg〕
收	〔丩攵&nbsp;·&nbsp;ihp〕
步	〔止&nbsp;·&nbsp;ssi〕
领	〔亽龴页&nbsp;·&nbsp;jkwy〕
林	〔木木&nbsp;·&nbsp;eem〕
根	〔木艮&nbsp;·&nbsp;eig〕
往	〔彳丶王&nbsp;·&nbsp;winw〕
亲	〔立朩&nbsp;·&nbsp;iem〕
极	〔木及&nbsp;·&nbsp;ecj〕
求	〔一氺丶&nbsp;·&nbsp;fkid〕
未	〔未&nbsp;·&nbsp;aw〕
每	〔𠂉母&nbsp;·&nbsp;ekm〕
程	〔禾口王&nbsp;·&nbsp;xdnw〕
式	〔弋工&nbsp;·&nbsp;pug〕
兵	〔&nbsp;·&nbsp;thb〕
据	〔扌尸古&nbsp;·&nbsp;uccg〕
类	〔米大&nbsp;·&nbsp;pmd〕
言	〔言&nbsp;·&nbsp;sy〕
规	〔夫见&nbsp;·&nbsp;hej〕
吧	〔口巴&nbsp;·&nbsp;dmb〕
品	〔口口口&nbsp;·&nbsp;dddk〕
确	〔石⺈用&nbsp;·&nbsp;mxty〕
观	〔又见&nbsp;·&nbsp;rej〕
城	〔土戊㇆&nbsp;·&nbsp;gnae〕
虽	〔口虫&nbsp;·&nbsp;dcc〕
失	〔丿夫&nbsp;·&nbsp;thf〕
格	〔木各&nbsp;·&nbsp;esg〕
远	〔二儿辶&nbsp;·&nbsp;mpuc〕
办	〔力八&nbsp;·&nbsp;shb〕
元	〔二儿&nbsp;·&nbsp;mpe〕
运	〔云辶&nbsp;·&nbsp;buc〕
令	〔亽龴&nbsp;·&nbsp;jks〕
共	〔龷八&nbsp;·&nbsp;lhb〕
似	〔亻人&nbsp;·&nbsp;jvjr〕
准	〔冫隹&nbsp;·&nbsp;wui〕
请	〔讠龶⺝&nbsp;·&nbsp;savy〕
武	〔一弋止&nbsp;·&nbsp;fpsi〕
士	〔士&nbsp;·&nbsp;gs〕
改	〔己攵&nbsp;·&nbsp;vhp〕
英	〔艹大&nbsp;·&nbsp;lmmd〕
术	〔木丶&nbsp;·&nbsp;eid〕
车	〔车&nbsp;·&nbsp;yc〕
石	〔石&nbsp;·&nbsp;ms〕
深	〔氵冖八木&nbsp;·&nbsp;kwhe〕
联	〔耳䒑大&nbsp;·&nbsp;qhmd〕
争	〔⺈&nbsp;·&nbsp;xbv〕
吗	〔口马&nbsp;·&nbsp;dnm〕
院	〔阝宀二儿&nbsp;·&nbsp;twmp〕
轻	〔ス工&nbsp;·&nbsp;yrug〕
火	〔火&nbsp;·&nbsp;ch〕
罗	〔罒夕&nbsp;·&nbsp;ylx〕
百	〔一白&nbsp;·&nbsp;fub〕
夫	〔夫&nbsp;·&nbsp;hf〕
离	〔亠㐅凵禸&nbsp;·&nbsp;zbmv〕
花	〔艹亻&nbsp;·&nbsp;ljvb〕
近	〔斤辶&nbsp;·&nbsp;tuc〕
切	〔七刀&nbsp;·&nbsp;rpd〕
识	〔讠口八&nbsp;·&nbsp;sdhb〕
造	〔⺧口辶&nbsp;·&nbsp;qduc〕
组	〔纟且&nbsp;·&nbsp;ifq〕
流	〔氵&nbsp;·&nbsp;kboc〕
算	〔⺮目廾&nbsp;·&nbsp;rqlc〕
布	〔𠂇巾&nbsp;·&nbsp;nrj〕
导	〔巳寸&nbsp;·&nbsp;vkc〕
早	〔日十&nbsp;·&nbsp;ons〕
找	〔扌戈&nbsp;·&nbsp;upg〕
候	〔亻丨矢&nbsp;·&nbsp;jgno〕
满	〔氵艹两&nbsp;·&nbsp;klml〕
服	〔月卩又&nbsp;·&nbsp;vzry〕
官	〔宀㠯&nbsp;·&nbsp;wki〕
整	〔束攵一止&nbsp;·&nbsp;xhfs〕
爱	〔爫冖𠂇又&nbsp;·&nbsp;ywnr〕
字	〔宀子&nbsp;·&nbsp;whi〕
持	〔扌土寸&nbsp;·&nbsp;ugkc〕
跟	〔⻊艮&nbsp;·&nbsp;pig〕
突	〔穴犬&nbsp;·&nbsp;emq〕
影	〔日小彡&nbsp;·&nbsp;ogye〕
消	〔氵⺌⺝&nbsp;·&nbsp;kyvy〕
随	〔阝𠂇⺝辶&nbsp;·&nbsp;tnvu〕
吃	〔口𠂉乙&nbsp;·&nbsp;deai〕
商	〔冂八口&nbsp;·&nbsp;imhd〕
证	〔讠一止&nbsp;·&nbsp;sfsi〕
单	〔丷田十&nbsp;·&nbsp;hqns〕
议	〔讠丶乂&nbsp;·&nbsp;sibi〕
越	〔走戉&nbsp;·&nbsp;pnu〕
存	〔𠂇丨子&nbsp;·&nbsp;nghi〕
击	〔凵&nbsp;·&nbsp;umk〕
精	〔米龶⺝&nbsp;·&nbsp;pavy〕
济	〔氵齐&nbsp;·&nbsp;kqq〕
始	〔女厶口&nbsp;·&nbsp;bkdk〕
台	〔厶口&nbsp;·&nbsp;kdk〕
黑	〔黑&nbsp;·&nbsp;ph〕
调	〔讠⺆土口&nbsp;·&nbsp;smgd〕
需	〔⻗而&nbsp;·&nbsp;tle〕
支	〔支&nbsp;·&nbsp;ci〕
杀	〔㐅朩&nbsp;·&nbsp;bem〕
团	〔囗丿&nbsp;·&nbsp;rntp〕
功	〔工力&nbsp;·&nbsp;usl〕
具	〔&nbsp;·&nbsp;qhb〕
华	〔亻十&nbsp;·&nbsp;jvns〕
脸	〔月亼⺍一&nbsp;·&nbsp;vjkf〕
府	〔广亻寸&nbsp;·&nbsp;xjkc〕
集	〔隹木&nbsp;·&nbsp;uem〕
周	〔⺆土口&nbsp;·&nbsp;mgdk〕
青	〔龶⺝&nbsp;·&nbsp;avy〕
红	〔纟工&nbsp;·&nbsp;iug〕
双	〔又又&nbsp;·&nbsp;rry〕
九	〔九&nbsp;·&nbsp;kj〕
八	〔八&nbsp;·&nbsp;hb〕
片	〔片&nbsp;·&nbsp;ap〕
半	〔丷&nbsp;·&nbsp;hus〕
容	〔宀谷&nbsp;·&nbsp;whg〕
曾	〔丷囗⺌曰&nbsp;·&nbsp;hryo〕
啊	〔口阝可&nbsp;·&nbsp;dtzk〕
阿	〔阝可&nbsp;·&nbsp;tzk〕
落	〔艹氵各&nbsp;·&nbsp;lksg〕
显	〔日业&nbsp;·&nbsp;ocy〕
除	〔阝人&nbsp;·&nbsp;tjxh〕
尽	〔尸㇏⺀&nbsp;·&nbsp;ciwb〕
党	〔儿&nbsp;·&nbsp;spe〕
照	〔日刀口灬&nbsp;·&nbsp;opdc〕
众	〔人人人&nbsp;·&nbsp;jjjr〕
备	〔夂田&nbsp;·&nbsp;hqt〕
复	〔𠂉日夊&nbsp;·&nbsp;eohi〕
陈	〔阝小&nbsp;·&nbsp;tryx〕
断	〔米㇗斤&nbsp;·&nbsp;patj〕
价	〔亻人&nbsp;·&nbsp;jjpd〕
约	〔纟勹丶&nbsp;·&nbsp;inid〕
写	〔冖一ㄅ一&nbsp;·&nbsp;wfaf〕
包	〔勹巳&nbsp;·&nbsp;nvs〕
级	〔纟及&nbsp;·&nbsp;icj〕
另	〔口力&nbsp;·&nbsp;dsl〕
病	〔疒一冂人&nbsp;·&nbsp;afmj〕
质	〔⺁十贝&nbsp;·&nbsp;xnob〕
称	〔禾小&nbsp;·&nbsp;xxyx〕
倒	〔亻至刂&nbsp;·&nbsp;jypd〕
江	〔氵工&nbsp;·&nbsp;kug〕
绝	〔纟⺈巴&nbsp;·&nbsp;ixmb〕
敌	〔舌攵&nbsp;·&nbsp;ahp〕
黄	〔黄&nbsp;·&nbsp;nh〕
技	〔扌支&nbsp;·&nbsp;uci〕
六	〔六&nbsp;·&nbsp;al〕
朝	〔十日十月&nbsp;·&nbsp;nonv〕
派	〔氵⺁&nbsp;·&nbsp;kxti〕
线	〔纟一戈&nbsp;·&nbsp;ifpg〕
站	〔立⺊口&nbsp;·&nbsp;iydk〕
究	〔穴九&nbsp;·&nbsp;ekj〕
装	〔丬士衣&nbsp;·&nbsp;agti〕
亚	〔一业&nbsp;·&nbsp;fcy〕
首	〔䒑自&nbsp;·&nbsp;hoi〕
刚	〔冂㐅刂&nbsp;·&nbsp;mbpd〕
示	〔示&nbsp;·&nbsp;fs〕
视	〔礻见&nbsp;·&nbsp;fej〕
况	〔冫口儿&nbsp;·&nbsp;wdpe〕
增	〔土丷囗曰&nbsp;·&nbsp;ghro〕
谈	〔讠火火&nbsp;·&nbsp;scch〕
惊	〔忄小&nbsp;·&nbsp;hgyx〕
古	〔古&nbsp;·&nbsp;cg〕
史	〔口&nbsp;·&nbsp;dbi〕
谁	〔讠隹&nbsp;·&nbsp;sui〕
引	〔弓丨&nbsp;·&nbsp;bgs〕
须	〔彡页&nbsp;·&nbsp;ewy〕
七	〔七&nbsp;·&nbsp;rq〕
息	〔自心&nbsp;·&nbsp;ohx〕
研	〔石一廾&nbsp;·&nbsp;mflc〕
际	〔阝示&nbsp;·&nbsp;tfs〕
器	〔口口犬口&nbsp;·&nbsp;ddmd〕
易	〔日勹&nbsp;·&nbsp;ones〕
留	〔田&nbsp;·&nbsp;bqt〕
推	〔扌隹&nbsp;·&nbsp;uui〕
坐	〔人人土&nbsp;·&nbsp;jjgt〕
房	〔户方&nbsp;·&nbsp;mlf〕
广	〔广&nbsp;·&nbsp;xg〕
注	〔氵丶王&nbsp;·&nbsp;kinw〕
查	〔木日一&nbsp;·&nbsp;eofi〕
语	〔讠五口&nbsp;·&nbsp;swdk〕
念	〔亽心&nbsp;·&nbsp;jahx〕
若	〔艹𠂇口&nbsp;·&nbsp;lndk〕
奇	〔大可&nbsp;·&nbsp;mzk〕
紧	〔〢又糸&nbsp;·&nbsp;pris〕
企	〔人止&nbsp;·&nbsp;jsi〕
希	〔㐅𠂇巾&nbsp;·&nbsp;bnrj〕
委	〔禾女&nbsp;·&nbsp;xbn〕
响	〔口丿冂口&nbsp;·&nbsp;dtmd〕
号	〔口一ㄅ&nbsp;·&nbsp;dfae〕
参	〔厶大彡&nbsp;·&nbsp;kmes〕
势	〔扌九丶力&nbsp;·&nbsp;ukis〕
历	〔厂力&nbsp;·&nbsp;xsl〕
剑	〔亼⺍一刂&nbsp;·&nbsp;jkfp〕
攻	〔工攵&nbsp;·&nbsp;uhp〕
冷	〔冫亽龴&nbsp;·&nbsp;wjks〕
投	〔扌殳&nbsp;·&nbsp;urs〕
哪	〔口㇆阝&nbsp;·&nbsp;daut〕
农	〔冖&nbsp;·&nbsp;wti〕
专	〔二丶&nbsp;·&nbsp;maid〕
